the first
couple of lines
contain only
nonsense
party,variable,value
CSU,immigrate_dissent,2.7333333
CSU,multiculturalism,8.6000004
CSU,multicult_salience,8.7333336
CSU,multicult_dissent,2.2142856
AfD,vote,12.6
AfD,seat,13.3
AfD,electionyear,2017
AfD,family,1. radical TAN
AfD,govt,0
AfD,position,1.8125
AfD,eu_salience,7.125
AfD,eu_dissent,2
AfD,eu_asylum,1.5
AfD,eu_budgets,1.3125
AfD,lrgen,9.1875
AfD,lrecon,7.5333333
AfD,lrecon_clear,3.5333333
AfD,lrecon_salience,3.3333333
AfD,galtan,9.4666662
AfD,galtan_clear,8.8666668
AfD,galtan_salience,9.2857141
AfD,immigrate_policy,9.3125
AfD,immigra_salience,9.9333334
AfD,immigrate_dissent,0.73333335
AfD,multiculturalism,9.8666668
AfD,multicult_salience,9.0666666
AfD,multicult_dissent,1.0714285
LKR,vote,NA
LKR,seat,NA
LKR,electionyear,2017
LKR,family,2. conservative
LKR,govt,0
LKR,position,2.8
LKR,eu_salience,8.75
LKR,eu_dissent,1
LKR,eu_asylum,2.5
LKR,eu_budgets,1.25
LKR,lrgen,7.75
LKR,lrecon,9
LKR,lrecon_clear,8.666667
LKR,lrecon_salience,8.3846149
LKR,galtan,9
LKR,galtan_clear,6.6666665
LKR,galtan_salience,7.6666665
LKR,immigrate_policy,8.5
LKR,immigra_salience,8
LKR,immigrate_dissent,0
LKR,multiculturalism,9.333333
LKR,multicult_salience,8.333333
LKR,multicult_dissent,3
BLAU,vote,NA
BLAU,seat,NA
BLAU,electionyear,2017
BLAU,family,1. radical TAN
BLAU,govt,0
BLAU,position,2.1428571
BLAU,eu_salience,7.9166665
BLAU,eu_dissent,1.6
BLAU,eu_asylum,1.4285715
BLAU,eu_budgets,1.1666666
BLAU,lrgen,8.4444447
BLAU,lrecon,8.333333
BLAU,lrecon_clear,3.6666667
BLAU,lrecon_salience,7.1666665
BLAU,galtan,9
BLAU,galtan_clear,7.5999999
BLAU,galtan_salience,9
BLAU,immigrate_policy,9.625
BLAU,immigra_salience,9.8000002
BLAU,immigrate_dissent,0.60000002
BLAU,multiculturalism,9.833333
BLAU,multicult_salience,8
BLAU,multicult_dissent,0.60000002
