rank,weeks_on_list,primary_isbn10,primary_isbn13,publisher,title,author,date
7,3,1538761572,9781538761571,Grand Central,LONG ROAD TO MERCY,David Baldacci,2018-12-18
8,3,0399179224,9780399179228,Putnam,LOOK ALIVE TWENTY-FIVE,Janet Evanovich,2018-12-18
9,4,1250069823,9781250069825,Flatiron,NINE PERFECT STRANGERS,Liane Moriarty,2018-12-18
10,8,006229444X,9780062294449,Harper,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,2018-12-18
11,5,1982102314,9781982102319,Scribner,ELEVATION,Stephen King,2018-12-18
12,1,0735215952,9780735215955,Putnam,TOM CLANCY: OATH OF OFFICE,Marc Cameron,2018-12-18
13,5,0316484806,9780316484800,"Little, Brown",DARK SACRED NIGHT,Michael Connelly,2018-12-18
14,13,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-12-18
15,2,0399179291,9780399179297,Delacorte,BEAUCHAMP HALL,Danielle Steel,2018-12-18
1,1,152479628X,9781524796280,Bantam,FIRE AND BLOOD,George RR Martin,2018-12-11
2,1,0316273945,9780316273947,"Little, Brown",TARGET: ALEX CROSS,James Patterson,2018-12-11
3,5,0385544154,9780385544153,Doubleday,THE RECKONING,John Grisham,2018-12-11
4,6,1538728524,9781538728529,Grand Central,EVERY BREATH,Nicholas Sparks,2018-12-11
5,2,0399179224,9780399179228,Putnam,LOOK ALIVE TWENTY-FIVE,Janet Evanovich,2018-12-11
6,3,0399593519,9780399593512,Delacorte,PAST TENSE,Lee Child,2018-12-11
7,2,1538761572,9781538761571,Grand Central,LONG ROAD TO MERCY,David Baldacci,2018-12-11
8,7,006229444X,9780062294449,Harper,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,2018-12-11
9,3,1250069823,9781250069825,Flatiron,NINE PERFECT STRANGERS,Liane Moriarty,2018-12-11
10,4,1982102314,9781982102319,Scribner,ELEVATION,Stephen King,2018-12-11
11,1,0399179291,9780399179297,Delacorte,BEAUCHAMP HALL,Danielle Steel,2018-12-11
12,4,0316484806,9780316484800,"Little, Brown",DARK SACRED NIGHT,Michael Connelly,2018-12-11
13,8,0345544986,9780345544988,Ballantine,A SPARK OF LIGHT,Jodi Picoult,2018-12-11
14,12,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-12-11
15,6,0062684566,9780062684561,Harper,UNSHELTERED,Barbara Kingsolver,2018-12-11
1,1,0399179224,9780399179228,Putnam,LOOK ALIVE TWENTY-FIVE,Janet Evanovich,2018-12-04
2,1,1538761572,9781538761571,Grand Central,LONG ROAD TO MERCY,David Baldacci,2018-12-04
3,4,0385544154,9780385544153,Doubleday,THE RECKONING,John Grisham,2018-12-04
4,2,0399593519,9780399593512,Delacorte,PAST TENSE,Lee Child,2018-12-04
5,2,1250069823,9781250069825,Flatiron,NINE PERFECT STRANGERS,Liane Moriarty,2018-12-04
6,5,1538728524,9781538728529,Grand Central,EVERY BREATH,Nicholas Sparks,2018-12-04
7,3,0316484806,9780316484800,"Little, Brown",DARK SACRED NIGHT,Michael Connelly,2018-12-04
8,3,1982102314,9781982102319,Scribner,ELEVATION,Stephen King,2018-12-04
9,6,006229444X,9780062294449,Harper,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,2018-12-04
10,11,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-12-04
11,5,0062684566,9780062684561,Harper,UNSHELTERED,Barbara Kingsolver,2018-12-04
12,7,0345544986,9780345544988,Ballantine,A SPARK OF LIGHT,Jodi Picoult,2018-12-04
13,2,0735219028,9780735219021,Putnam,SEA OF GREED,Clive Cussler and Graham Brown,2018-12-04
14,2,1501171666,9781501171666,Simon & Schuster,YOU DON'T OWN ME,Mary Higgins Clark and Alafair Burke,2018-12-04
15,2,1501172050,9781501172052,Simon & Schuster,THE NOEL STRANGER,Richard Paul Evans,2018-12-04
1,1,0399593519,9780399593512,Delacorte,PAST TENSE,Lee Child,2018-11-27
2,1,1250069823,9781250069825,Flatiron,NINE PERFECT STRANGERS,Liane Moriarty,2018-11-27
3,3,0385544154,9780385544153,Doubleday,THE RECKONING,John Grisham,2018-11-27
4,2,0316484806,9780316484800,"Little, Brown",DARK SACRED NIGHT,Michael Connelly,2018-11-27
5,4,1538728524,9781538728529,Grand Central,EVERY BREATH,Nicholas Sparks,2018-11-27
6,2,1982102314,9781982102319,Scribner,ELEVATION,Stephen King,2018-11-27
7,5,006229444X,9780062294449,Harper,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,2018-11-27
8,4,0062684566,9780062684561,Harper,UNSHELTERED,Barbara Kingsolver,2018-11-27
9,1,1501172050,9781501172052,Simon & Schuster,THE NOEL STRANGER,Richard Paul Evans,2018-11-27
10,1,0735219028,9780735219021,Putnam,SEA OF GREED,Clive Cussler and Graham Brown,2018-11-27
11,1,1501171666,9781501171666,Simon & Schuster,YOU DON'T OWN ME,Mary Higgins Clark and Alafair Burke,2018-11-27
12,1,1524747807,9781524747800,Pantheon,THE COLORS OF ALL THE CATTLE,Alexander McCall Smith,2018-11-27
13,6,0345544986,9780345544988,Ballantine,A SPARK OF LIGHT,Jodi Picoult,2018-11-27
14,10,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-11-27
15,1,1250172500,9781250172501,St. Martin's,HEADS YOU WIN,Jeffrey Archer,2018-11-27
1,1,1982102314,9781982102319,Scribner,ELEVATION,Stephen King,2018-11-20
2,2,0385544154,9780385544153,Doubleday,THE RECKONING,John Grisham,2018-11-20
3,1,0316484806,9780316484800,"Little, Brown",DARK SACRED NIGHT,Michael Connelly,2018-11-20
4,3,1538728524,9781538728529,Grand Central,EVERY BREATH,Nicholas Sparks,2018-11-20
5,3,0062684566,9780062684561,Harper,UNSHELTERED,Barbara Kingsolver,2018-11-20
6,4,006229444X,9780062294449,Harper,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,2018-11-20
7,5,0345544986,9780345544988,Ballantine,A SPARK OF LIGHT,Jodi Picoult,2018-11-20
8,4,0316273988,9780316273985,"Little, Brown",AMBUSH,James Patterson and James O Born,2018-11-20
9,4,0735217327,9780735217324,Putnam,HOLY GHOST,John Sandford,2018-11-20
10,9,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-11-20
11,4,1451649398,9781451649390,Atria,THE CLOCKMAKER'S DAUGHTER,Kate Morton,2018-11-20
12,4,0735224625,9780735224629,Viking,THE WITCH ELM,Tana French,2018-11-20
13,6,1501190598,9781501190599,Emily Bestler/Atria,VINCE FLYNN: RED WAR,Kyle Mills,2018-11-20
14,4,0316435511,9780316435512,"Little, Brown",WINTER IN PARADISE,Elin Hilderbrand,2018-11-20
15,1,006284413X,9780062844132,Harper Perennial,ALICE ISN'T DEAD,Joseph Fink,2018-11-20
1,1,0385544154,9780385544153,Doubleday,THE RECKONING,John Grisham,2018-11-13
2,2,1538728524,9781538728529,Grand Central,EVERY BREATH,Nicholas Sparks,2018-11-13
3,3,006229444X,9780062294449,Harper,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,2018-11-13
4,2,0062684566,9780062684561,Harper,UNSHELTERED,Barbara Kingsolver,2018-11-13
5,4,0345544986,9780345544988,Ballantine,A SPARK OF LIGHT,Jodi Picoult,2018-11-13
6,3,0316273988,9780316273985,"Little, Brown",AMBUSH,James Patterson and James O Born,2018-11-13
7,3,0735217327,9780735217324,Putnam,HOLY GHOST,John Sandford,2018-11-13
8,3,0735224625,9780735224629,Viking,THE WITCH ELM,Tana French,2018-11-13
9,5,1501190598,9781501190599,Emily Bestler/Atria,VINCE FLYNN: RED WAR,Kyle Mills,2018-11-13
10,8,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-11-13
11,3,1451649398,9781451649390,Atria,THE CLOCKMAKER'S DAUGHTER,Kate Morton,2018-11-13
12,3,0316435511,9780316435512,"Little, Brown",WINTER IN PARADISE,Elin Hilderbrand,2018-11-13
13,4,0399181288,9780399181283,Ballantine,ALASKAN HOLIDAY,Debbie Macomber,2018-11-13
14,3,052552004X,9780525520047,Knopf,KILLING COMMENDATORE,Haruki Murakami,2018-11-13
15,1,0525538429,9780525538424,Putnam,THE FOX,Frederick Forsyth,2018-11-13
1,1,1538728524,9781538728529,Grand Central,EVERY BREATH,Nicholas Sparks,2018-11-06
2,2,006229444X,9780062294449,Harper,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,2018-11-06
3,1,0062684566,9780062684561,Harper,UNSHELTERED,Barbara Kingsolver,2018-11-06
4,3,0345544986,9780345544988,Ballantine,A SPARK OF LIGHT,Jodi Picoult,2018-11-06
5,2,0316273988,9780316273985,"Little, Brown",AMBUSH,James Patterson and James O Born,2018-11-06
6,2,0735217327,9780735217324,Putnam,HOLY GHOST,John Sandford,2018-11-06
7,2,0735224625,9780735224629,Viking,THE WITCH ELM,Tana French,2018-11-06
8,4,1501190598,9781501190599,Emily Bestler/Atria,VINCE FLYNN: RED WAR,Kyle Mills,2018-11-06
9,2,0316435511,9780316435512,"Little, Brown",WINTER IN PARADISE,Elin Hilderbrand,2018-11-06
10,1,1501170015,9781501170010,Howard,WHEN WE WERE YOUNG,Karen Kingsbury,2018-11-06
11,7,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-11-06
12,2,1451649398,9781451649390,Atria,THE CLOCKMAKER'S DAUGHTER,Kate Morton,2018-11-06
13,1,0735219222,9780735219229,Putnam,DESPERATE MEASURES,Stuart Woods,2018-11-06
14,3,0399181288,9780399181283,Ballantine,ALASKAN HOLIDAY,Debbie Macomber,2018-11-06
15,2,052552004X,9780525520047,Knopf,KILLING COMMENDATORE,Haruki Murakami,2018-11-06
1,1,006229444X,9780062294449,Harper,THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,2018-10-30
2,1,0735217327,9780735217324,Putnam,HOLY GHOST,John Sandford,2018-10-30
3,1,1451649398,9781451649390,Atria,THE CLOCKMAKER'S DAUGHTER,Kate Morton,2018-10-30
4,1,0316273988,9780316273985,"Little, Brown",AMBUSH,James Patterson and James O Born,2018-10-30
5,1,0316435511,9780316435512,"Little, Brown",WINTER IN PARADISE,Elin Hilderbrand,2018-10-30
6,2,0345544986,9780345544988,Ballantine,A SPARK OF LIGHT,Jodi Picoult,2018-10-30
7,1,0735224625,9780735224629,Viking,THE WITCH ELM,Tana French,2018-10-30
8,1,052552004X,9780525520047,Knopf,KILLING COMMENDATORE,Haruki Murakami,2018-10-30
9,3,1501190598,9781501190599,Emily Bestler/Atria,VINCE FLYNN: RED WAR,Kyle Mills,2018-10-30
10,6,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-10-30
11,2,0399181288,9780399181283,Ballantine,ALASKAN HOLIDAY,Debbie Macomber,2018-10-30
12,4,0316422738,9780316422734,"Mulholland/Little, Brown",LETHAL WHITE,Robert Galbraith,2018-10-30
13,5,0316474126,9780316474122,"Little, Brown",JUROR #3,James Patterson and Nancy Allen,2018-10-30
14,3,1524743445,9781524743444,Dutton,AN ABSOLUTELY REMARKABLE THING,Hank Green,2018-10-30
15,1,0374156069,9780374156060,"Farrar, Straus & Giroux",THE FLAME,Leonard Cohen,2018-10-30
1,1,0345544986,9780345544988,Ballantine,A SPARK OF LIGHT,Jodi Picoult,2018-10-23
2,2,1501190598,9781501190599,Emily Bestler/Atria,VINCE FLYNN: RED WAR,Kyle Mills,2018-10-23
3,2,1524743445,9781524743444,Dutton,AN ABSOLUTELY REMARKABLE THING,Hank Green,2018-10-23
4,1,0399181288,9780399181283,Ballantine,ALASKAN HOLIDAY,Debbie Macomber,2018-10-23
5,1,1524732648,9781524732646,Knopf,BLOOD COMMUNION,Anne Rice,2018-10-23
6,4,0316474126,9780316474122,"Little, Brown",JUROR #3,James Patterson and Nancy Allen,2018-10-23
7,3,0316422738,9780316422734,"Mulholland/Little, Brown",LETHAL WHITE,Robert Galbraith,2018-10-23
8,5,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-10-23
9,1,1481483501,9781481483506,Baen,UNCOMPROMISING HONOR,David Weber,2018-10-23
10,1,0062563173,9780062563170,Harper,WAR OF THE WOLF,Bernard Cornwell,2018-10-23
11,2,031617663X,9780316176637,"Little, Brown",TRANSCRIPTION,Kate Atkinson,2018-10-23
12,3,0399564519,9780399564512,Viking,TIME'S CONVERT,Deborah Harkness,2018-10-23
13,4,0735219060,9780735219069,Putnam,SHADOW TYRANTS,Clive Cussler and Boyd Morrison,2018-10-23
14,20,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-10-23
15,5,0399179267,9780399179266,Delacorte,IN HIS FATHER'S FOOTSTEPS,Danielle Steel,2018-10-23
1,1,1524743445,9781524743444,Dutton,AN ABSOLUTELY REMARKABLE THING,Hank Green,2018-10-16
2,1,1501190598,9781501190599,Emily Bestler/Atria,VINCE FLYNN: RED WAR,Kyle Mills,2018-10-16
3,3,0316474126,9780316474122,"Little, Brown",JUROR #3,James Patterson and Nancy Allen,2018-10-16
4,1,031617663X,9780316176637,"Little, Brown",TRANSCRIPTION,Kate Atkinson,2018-10-16
5,2,0316422738,9780316422734,"Mulholland/Little, Brown",LETHAL WHITE,Robert Galbraith,2018-10-16
6,4,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-10-16
7,1,0765387522,9780765387523,Tor,VENGEFUL,VE Schwab,2018-10-16
8,2,0399564519,9780399564512,Viking,TIME'S CONVERT,Deborah Harkness,2018-10-16
9,3,0735219060,9780735219069,Putnam,SHADOW TYRANTS,Clive Cussler and Boyd Morrison,2018-10-16
10,4,0399179267,9780399179266,Delacorte,IN HIS FATHER'S FOOTSTEPS,Danielle Steel,2018-10-16
11,4,1250161568,9781250161567,St. Martin's,LEVERAGE IN DEATH,JD Robb,2018-10-16
12,19,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-10-16
13,54,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-10-16
14,17,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-10-16
15,1,0525655611,9780525655619,Knopf,HIPPIE,Paulo Coelho,2018-10-16
1,1,0316422738,9780316422734,"Mulholland/Little, Brown",LETHAL WHITE,Robert Galbraith,2018-10-09
2,2,0316474126,9780316474122,"Little, Brown",JUROR #3,James Patterson and Nancy Allen,2018-10-09
3,1,0399564519,9780399564512,Viking,TIME'S CONVERT,Deborah Harkness,2018-10-09
4,1,0525539093,9780525539094,Riverhead,SEA PRAYER,Khaled Hosseini,2018-10-09
5,2,0735219060,9780735219069,Putnam,SHADOW TYRANTS,Clive Cussler and Boyd Morrison,2018-10-09
6,3,1250161568,9781250161567,St. Martin's,LEVERAGE IN DEATH,JD Robb,2018-10-09
7,3,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-10-09
8,3,0399179267,9780399179266,Delacorte,IN HIS FATHER'S FOOTSTEPS,Danielle Steel,2018-10-09
9,16,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-10-09
10,6,0316556661,9780316556668,"Little, Brown",TEXAS RANGER,James Patterson and Andrew Bourelle,2018-10-09
11,18,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-10-09
12,2,0525483705,9780525483700,Bantam,THE FORBIDDEN DOOR,Dean Koontz,2018-10-09
13,4,1328613046,9781328613042,Houghton Mifflin Harcourt,THE FALL OF GONDOLIN,JRR Tolkien,2018-10-09
14,53,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-10-09
15,1,0062668692,9780062668691,Harper,THE LABYRINTH OF THE SPIRITS,Carlos Ruiz Zafón,2018-10-09
1,1,0316474126,9780316474122,"Little, Brown",JUROR #3,James Patterson and Nancy Allen,2018-10-02
2,1,0735219060,9780735219069,Putnam,SHADOW TYRANTS,Clive Cussler and Boyd Morrison,2018-10-02
3,2,1250161568,9781250161567,St. Martin's,LEVERAGE IN DEATH,JD Robb,2018-10-02
4,2,0399179267,9780399179266,Delacorte,IN HIS FATHER'S FOOTSTEPS,Danielle Steel,2018-10-02
5,1,0525483705,9780525483700,Bantam,THE FORBIDDEN DOOR,Dean Koontz,2018-10-02
6,5,0316556661,9780316556668,"Little, Brown",TEXAS RANGER,James Patterson and Andrew Bourelle,2018-10-02
7,15,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-10-02
8,2,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-10-02
9,3,1328613046,9781328613042,Houghton Mifflin Harcourt,THE FALL OF GONDOLIN,JRR Tolkien,2018-10-02
10,17,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-10-02
11,1,0399574948,9780399574948,Putnam,ROBERT B. PARKER'S COLORBLIND,Reed Farrel Coleman,2018-10-02
12,52,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-10-02
13,2,0525522476,9780525522478,Viking,DEPTH OF WINTER,Craig Johnson,2018-10-02
14,48,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-10-02
15,31,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-10-02
1,1,1250161568,9781250161567,St. Martin's,LEVERAGE IN DEATH,JD Robb,2018-09-25
2,1,0399179267,9780399179266,Delacorte,IN HIS FATHER'S FOOTSTEPS,Danielle Steel,2018-09-25
3,14,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-09-25
4,4,0316556661,9780316556668,"Little, Brown",TEXAS RANGER,James Patterson and Andrew Bourelle,2018-09-25
5,1,0525522476,9780525522478,Viking,DEPTH OF WINTER,Craig Johnson,2018-09-25
6,2,1328613046,9781328613042,Houghton Mifflin Harcourt,THE FALL OF GONDOLIN,JRR Tolkien,2018-09-25
7,16,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-09-25
8,1,0451490088,9780451490087,Berkley,DARK SENTINEL,Christine Feehan,2018-09-25
9,1,0735219095,9780735219090,Putnam,WHERE THE CRAWDADS SING,Delia Owens,2018-09-25
10,51,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-09-25
11,5,1455572160,9781455572168,Grand Central,TAILSPIN,Sandra Brown,2018-09-25
12,3,0062430270,9780062430274,Morrow,PIECES OF HER,Karin Slaughter,2018-09-25
13,11,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-09-25
14,1,0062688596,9780062688590,Harper Voyager,TIMELESS,RA Salvatore,2018-09-25
15,1,0062657577,9780062657572,Morrow,FIELD OF BONES,JA Jance,2018-09-25
1,1,1328613046,9781328613042,Houghton Mifflin Harcourt,THE FALL OF GONDOLIN,JRR Tolkien,2018-09-18
2,3,0316556661,9780316556668,"Little, Brown",TEXAS RANGER,James Patterson and Andrew Bourelle,2018-09-18
3,13,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-09-18
4,15,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-09-18
5,4,1455572160,9781455572168,Grand Central,TAILSPIN,Sandra Brown,2018-09-18
6,2,0062430270,9780062430274,Morrow,PIECES OF HER,Karin Slaughter,2018-09-18
7,5,0316556343,9780316556347,"Little, Brown",CIRCE,Madeline Miller,2018-09-18
8,1,1250102685,9781250102683,Tor,STYGIAN,Sherrilyn Kenyon,2018-09-18
9,50,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-09-18
10,10,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-09-18
11,1,0425270718,9780425270714,Ace,MAGIC TRIUMPHS,Ilona Andrews,2018-09-18
12,30,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-09-18
13,47,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-09-18
14,7,0062834827,9780062834829,Harper,THE OTHER WOMAN,Daniel Silva,2018-09-18
15,3,1250099595,9781250099594,St. Martin's,FEARED,Lisa Scottoline,2018-09-18
1,2,0316556661,9780316556668,"Little, Brown",TEXAS RANGER,James Patterson and Andrew Bourelle,2018-09-11
2,12,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-09-11
3,1,0062430270,9780062430274,Morrow,PIECES OF HER,Karin Slaughter,2018-09-11
4,3,1455572160,9781455572168,Grand Central,TAILSPIN,Sandra Brown,2018-09-11
5,14,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-09-11
6,1,1501147463,9781501147463,Atria,DESOLATION MOUNTAIN,William Kent Krueger,2018-09-11
7,49,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-09-11
8,6,0062834827,9780062834829,Harper,THE OTHER WOMAN,Daniel Silva,2018-09-11
9,46,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-09-11
10,59,0670026190,9780670026197,Viking,A GENTLEMAN IN MOSCOW,Amor Towles,2018-09-11
11,29,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-09-11
12,2,1250099595,9781250099594,St. Martin's,FEARED,Lisa Scottoline,2018-09-11
13,6,0399181253,9780399181252,Ballantine,COTTAGE BY THE SEA,Debbie Macomber,2018-09-11
14,4,150113812X,9781501138126,Gallery,PARADOX,Catherine Coulter,2018-09-11
15,20,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-09-11
1,1,0316556661,9780316556668,"Little, Brown",TEXAS RANGER,James Patterson and Andrew Bourelle,2018-09-04
2,11,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-09-04
3,2,1455572160,9781455572168,Grand Central,TAILSPIN,Sandra Brown,2018-09-04
4,13,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-09-04
5,1,1250099595,9781250099594,St. Martin's,FEARED,Lisa Scottoline,2018-09-04
6,5,0062834827,9780062834829,Harper,THE OTHER WOMAN,Daniel Silva,2018-09-04
7,48,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-09-04
8,45,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-09-04
9,5,0399181253,9780399181252,Ballantine,COTTAGE BY THE SEA,Debbie Macomber,2018-09-04
10,3,150113812X,9781501138126,Gallery,PARADOX,Catherine Coulter,2018-09-04
11,8,0399178929,9780399178924,Ballantine,ALL WE EVER WANTED,Emily Giffin,2018-09-04
12,28,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-09-04
13,11,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-09-04
14,1,0525520139,9780525520139,Knopf,CHERRY,Nico Walker,2018-09-04
15,9,0316375268,9780316375269,"Little, Brown",THE PERFECT COUPLE,Elin Hilderbrand,2018-09-04
1,1,1455572160,9781455572168,Grand Central,TAILSPIN,Sandra Brown,2018-08-28
2,10,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-08-28
3,1,0425255689,9780425255681,Berkley,SERPENTINE,Laurell K Hamilton,2018-08-28
4,12,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-08-28
5,4,0062834827,9780062834829,Harper,THE OTHER WOMAN,Daniel Silva,2018-08-28
6,1,0525557628,9780525557623,Pamela Dorman,AN UNWANTED GUEST,Shari Lapena,2018-08-28
7,5,0525655522,9780525655527,Knopf,CLOCK DANCE,Anne Tyler,2018-08-28
8,2,150113812X,9781501138126,Gallery,PARADOX,Catherine Coulter,2018-08-28
9,1,0735218595,9780735218598,Putnam,THE MONEY SHOT,Stuart Woods and Parnell Hall,2018-08-28
10,4,0399181253,9780399181252,Ballantine,COTTAGE BY THE SEA,Debbie Macomber,2018-08-28
11,8,0316375268,9780316375269,"Little, Brown",THE PERFECT COUPLE,Elin Hilderbrand,2018-08-28
12,47,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-08-28
13,7,0399178929,9780399178924,Ballantine,ALL WE EVER WANTED,Emily Giffin,2018-08-28
14,10,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-08-28
15,6,147678941X,9781476789415,Emily Bestler/Atria,SPYMASTER,Brad Thor,2018-08-28
1,9,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-08-21
2,1,150113812X,9781501138126,Gallery,PARADOX,Catherine Coulter,2018-08-21
3,11,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-08-21
4,3,0062834827,9780062834829,Harper,THE OTHER WOMAN,Daniel Silva,2018-08-21
5,3,0399181253,9780399181252,Ballantine,COTTAGE BY THE SEA,Debbie Macomber,2018-08-21
6,2,052548048X,9780525480488,Del Rey,THRAWN: ALLIANCES,Timothy Zahn,2018-08-21
7,4,0525655522,9780525655527,Knopf,CLOCK DANCE,Anne Tyler,2018-08-21
8,7,0316375268,9780316375269,"Little, Brown",THE PERFECT COUPLE,Elin Hilderbrand,2018-08-21
9,6,0399178929,9780399178924,Ballantine,ALL WE EVER WANTED,Emily Giffin,2018-08-21
10,46,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-08-21
11,5,147678941X,9781476789415,Emily Bestler/Atria,SPYMASTER,Brad Thor,2018-08-21
12,27,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-08-21
13,9,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-08-21
14,44,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-08-21
15,9,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-08-21
1,1,052548048X,9780525480488,Del Rey,THRAWN: ALLIANCES,Timothy Zahn,2018-08-14
2,8,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-08-14
3,2,0062834827,9780062834829,Harper,THE OTHER WOMAN,Daniel Silva,2018-08-14
4,10,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-08-14
5,1,0525522778,9780525522775,Pamela Dorman/Viking,GHOSTED,Rosie Walsh,2018-08-14
6,2,0399181253,9780399181252,Ballantine,COTTAGE BY THE SEA,Debbie Macomber,2018-08-14
7,6,0316375268,9780316375269,"Little, Brown",THE PERFECT COUPLE,Elin Hilderbrand,2018-08-14
8,4,147678941X,9781476789415,Emily Bestler/Atria,SPYMASTER,Brad Thor,2018-08-14
9,3,0525655522,9780525655527,Knopf,CLOCK DANCE,Anne Tyler,2018-08-14
10,5,0399178929,9780399178924,Ballantine,ALL WE EVER WANTED,Emily Giffin,2018-08-14
11,8,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-08-14
12,45,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-08-14
